Task,Category
"schedule a meeting with career services for job search help","Important but Not Urgent"
"review and revise past assignments for improvement","Important but Not Urgent"
"research career options in your field of study","Important but Not Urgent"
"organize volunteer work or community service opportunities","Important but Not Urgent"
"attend university-hosted career fairs or job expos","Important but Not Urgent"
"organize your digital notes by subject","Important but Not Urgent"
"plan time to review your course syllabus for upcoming classes","Important but Not Urgent"
"get involved in university sports or fitness activities","Important but Not Urgent"
"create a budget for living expenses as a student","Important but Not Urgent"
"review your student loans and repayment plans","Important but Not Urgent"
"set personal goals for improving grades or study habits","Important but Not Urgent"
"plan a visit to a university open house or research symposium","Important but Not Urgent"
"arrange for academic tutoring in a challenging subject","Important but Not Urgent"
"create a study routine for more effective learning","Important but Not Urgent"
"research upcoming academic conferences or events","Important but Not Urgent"
"explore summer research opportunities","Important but Not Urgent"
"join a professional student association","Important but Not Urgent"
"prepare a personal study space at home","Important but Not Urgent"
"update your resume with new academic achievements","Important but Not Urgent"
"attend a career development workshop at the university","Important but Not Urgent"
"research graduate school options","Important but Not Urgent"
"schedule a coffee chat with a professor to discuss research","Important but Not Urgent"
"join a student-led project or initiative","Important but Not Urgent"
"organize study materials by subject for easier access","Important but Not Urgent"
"volunteer at a university event or conference","Important but Not Urgent"
"create a detailed study plan for finals","Important but Not Urgent"
"review your course load for the upcoming semester","Important but Not Urgent"
"set goals for improving time management skills","Important but Not Urgent"
"organize your digital course materials into folders","Important but Not Urgent"
"plan a networking event with classmates for future career growth","Important but Not Urgent"
"create a presentation or poster for an academic event","Important but Not Urgent"
"follow academic blogs or podcasts to stay updated","Important but Not Urgent"
"join an online course related to your major","Important but Not Urgent"
"read a research paper or journal in your field of study","Important but Not Urgent"
"prepare for academic interviews for scholarships or grants","Important but Not Urgent"
"clean up your university email inbox","Important but Not Urgent"
"research academic publications related to your interests","Important but Not Urgent"
"check the university�s job portal for internship opportunities","Important but Not Urgent"
"follow academic conferences or workshops relevant to your studies","Important but Not Urgent"
"connect with classmates to discuss course material","Important but Not Urgent"
"set up a meeting with your academic advisor for semester planning","Important but Not Urgent"
"organize your study schedule around exam dates","Important but Not Urgent"
"prepare a personal financial plan for the semester","Important but Not Urgent"
"visit the campus career center for job search advice","Important but Not Urgent"
"schedule regular time for self-care and relaxation during study sessions","Important but Not Urgent"
"research different types of scholarships for next year","Important but Not Urgent"
"attend a seminar on professional development or networking","Important but Not Urgent"
"set long-term academic goals for your degree program","Important but Not Urgent"
"organize your digital academic portfolio","Important but Not Urgent"
"research how to balance work and study life","Important but Not Urgent"
"sign up for university-hosted webinars on career skills","Important but Not Urgent"
"create a weekly study schedule and stick to it","Important but Not Urgent"
"update your LinkedIn profile with new projects and accomplishments","Important but Not Urgent"
"attend a university club meeting to explore new interests","Important but Not Urgent"
"review your past exams to identify areas for improvement","Important but Not Urgent"
"look for volunteer work related to your field of study","Important but Not Urgent"
"plan a weekend trip to attend an academic conference","Important but Not Urgent"
"organize and update your list of academic contacts","Important but Not Urgent"
"check if any new scholarships or fellowships are available","Important but Not Urgent"
"find a study buddy for a challenging subject","Important but Not Urgent"
"prepare your personal statement for graduate school applications","Important but Not Urgent"
"practice writing academic papers and essays","Important but Not Urgent"
"research how to effectively manage stress during exam season","Important but Not Urgent"
"plan a research project to deepen knowledge in your major","Important but Not Urgent"
"attend a workshop on building academic portfolios","Important but Not Urgent"
"join a mentor-mentee program for career guidance","Important but Not Urgent"
"review and plan the next semester�s course selection","Important but Not Urgent"
