Task,Category
customize planner layout,not-urgent not-important
remind the professor about the missed class note,urgent not-important
submit the quality control checklist for the product batch,urgent important
send a calendar invite for the conference next month,urgent not-important
maintain personal hygiene and cleanliness,not-urgent important
coordinate the delivery schedule with the moving company,urgent important
submit the invoice detail by tomorrow afternoon,urgent important
proofread assignment,urgent important
test hypothesis and conduct statistical analysis,not-urgent important
organize the team for tomorrow’s urgent brainstorming session,urgent important
set study goal for the session,urgent important
sign up for data analytics course,urgent not-important
create social medium content calendar,not-urgent important
research scholarship opportunity,not-urgent important
attend online tutoring session,urgent important
remind the team about the report deadline,urgent not-important
organize brainstorming session,not-urgent important
submit the health insurance claim form,urgent important
schedule a team-building activity,not-urgent important
rearrange your desk,not-urgent not-important
personalize customer communication,not-urgent important
check course review deadline,urgent not-important
notify team about memo,
submit club reimbursement,urgent not-important
submit lab report,urgent important
browse study room plant,not-urgent not-important
create email signature template,not-urgent not-important
verify detail for attending university conference,urgent not-important
finalize a gift card,
respond to the inquiry from the project manager,urgent important
buy random item on sale,not-urgent not-important
meal prep for the week,not-urgent not-important
ask for help or clarification if needed,not-urgent important
plan weekend study session,not-urgent important
practice public speaking for class,not-urgent important
check hr about recognition event,urgent not-important
send updated contact detail to team,urgent not-important
update your university portal with recent academic activity,not-urgent not-important
look for street festival detail,urgent not-important
draft lab report,urgent important
complete the last-minute revision on the term paper,urgent important
browse study accessory,not-urgent not-important
call customer service about billing issue,urgent not-important
review professor's feedback on paper,not-urgent important
develop new product or service,urgent important
research tool to improve project management,not-urgent important
handle major customer escalation,urgent important
clean out your car’s trunk for better organization,urgent not-important
learn new skill,not-urgent important
pick a birthday gift,
learn how to do origami,not-urgent not-important
start term paper research,not-urgent important
develop data governance policy,not-urgent important
update meeting minute,urgent not-important
review compliance document for approval,not-urgent important
schedule study session,not-urgent important
create exam timetable,not-urgent not-important
sort digital invoice,not-urgent not-important
catch up with a friend over coffee,not-urgent important
schedule a coffee chat with a professor to discus research,not-urgent important
respond to urgent client email,urgent not-important
write cover letter,urgent important
review social medium analytics,not-urgent not-important
look up academic calendar,urgent not-important
contact technical support,urgent not-important
practice a new language or skill,not-urgent important
look for project partner,urgent not-important
update your list of personal achievement,not-urgent important
arrange the catering for the neighborhood gathering,urgent important
prepare the proposal for the university research grant,urgent important
update contact photo,not-urgent not-important
plan research project timeline,not-urgent important
schedule a quick call with the client to confirm detail,urgent not-important
remind the office staff to submit expense report,urgent not-important
reconfirm meeting agenda,urgent not-important
review the legal notice received urgently by tomorrow,urgent important
ask about the availability of a study room for the group project,urgent not-important
confirm the time for next week’s group study session,urgent not-important
prepare for job interview,urgent important
research thesis topic,not-urgent important
check the water filter in the kitchen before using,urgent not-important
buy extra marker for whiteboard,urgent not-important
submit attendance record,urgent not-important
"set up project management tool (e.g., trello, jira)",not-urgent important
send reminder about group project meeting,urgent not-important
address the client’s urgent concern raised this morning,urgent important
organize meeting handout,
respond to customer support inquiry,urgent not-important
submit weekly assignment,urgent important
book an appointment with the dentist,urgent important
design new theme,not-urgent not-important
organize file folder,not-urgent not-important
check the stock and reorder the supply,urgent important
send team meeting update,urgent not-important
customize calculator case,not-urgent not-important
check with it about office wi-fi issue,urgent not-important
register for extracurricular workshop,not-urgent important
schedule performance review,urgent not-important
send follow-up thank-you email after meeting,not-urgent important
team building activity,not-urgent important
check printer ink for presentation,urgent not-important
study research ethic,not-urgent important
check library book availability for the project,urgent not-important
select casual playlist,
inspect room lighting,
attend an online webinar,not-urgent not-important
experiment with new photo filter,not-urgent not-important
complete optional reading,not-urgent important
set up a study group for difficult course,not-urgent important
learn a new language,not-urgent important
resolve client concern before the negotiation,urgent important
check kitchen supply,urgent not-important
submit the event coordination outline to the planning committee,urgent important
chat with coworkers,not-urgent not-important
clean up your work calendar,not-urgent not-important
review the legal document before the court date,urgent important
watch university-related educational content on youtube,not-urgent not-important
create concept map,not-urgent not-important
organize your note for the semester,not-urgent not-important
schedule a photo session,
send reminder to study group for meeting time,urgent not-important
write event caption,
develop research skill,not-urgent important
respond to client email,urgent important
browse through academic journal for research inspiration,not-urgent not-important
set an alarm to wake up early tomorrow,urgent not-important
call tech support about computer issue,urgent not-important
review feedback from last exam,not-urgent important
vacuuming the floor,not-urgent important
refine email template,not-urgent important
schedule update for company website content,not-urgent important
follow up on pending payment,urgent important
ask for team’s availability,urgent not-important
catch up on sleep,not-urgent important
prepare the meal for the family gathering,urgent important
submit assignment on portal,urgent not-important
contact janitor for coffee spill,urgent not-important
check in on group project progress,urgent important
make a list of question for your professor’s office hour,urgent not-important
update personal budget,not-urgent not-important
organize your university timetable to avoid clash,not-urgent not-important
finalize the logistics plan for the annual conference,urgent important
call family member to catch up,not-urgent important
complete monthly expense report,not-urgent important
finalize the vendor contract for the upcoming service requirement,urgent important
prepare the inventory list for the garage sale this weekend,urgent important
take inventory of office supply,not-urgent not-important
stay positive,not-urgent important
check when the next lab session is scheduled,urgent not-important
schedule the interview with the candidate,urgent important
confirm lunch catering order,urgent not-important
approve the revision to the company's employee policy,urgent important
complete the quarterly financial report for review,urgent important
submit the expense report for approval,urgent important
plan infrastructure modernization,not-urgent important
call for dry cleaning,
ask about research assistant position,urgent not-important
organize your student planner for better scheduling,not-urgent not-important
check final project deadline,urgent not-important
attend extracurricular activity,not-urgent not-important
update resume,not-urgent important
conduct the quarterly equipment maintenance review,urgent important
prepare for upcoming group project meeting,not-urgent important
send group assignment to professor for feedback,urgent not-important
process employee reimbursement,urgent not-important
read english literature book,not-urgent important
check grade on class portal,urgent not-important
conduct survey on employee satisfaction,not-urgent important
set up calendar reminder for deadline,not-urgent important
find out study room availability,urgent not-important
pay the property tax before the due date,urgent important
schedule team brainstorming session,not-urgent important
update desktop wallpaper,not-urgent not-important
find way to organize your office meeting,not-urgent not-important
approve the new marketing campaign strategy,urgent important
create a self-improvement plan,not-urgent important
share casual update,
take a short nap,not-urgent not-important
organize team’s workspace for the meeting,urgent not-important
organize digital photo into album,not-urgent important
update team on delay,
experiment with a new hobby like painting or cooking,not-urgent important
address the plumbing issue in the bathroom immediately,urgent important
gather customer feedback,urgent not-important
take out office trash,
update sale pipeline,urgent important
plan meal for the week,not-urgent not-important
make a vision board for your aspiration,not-urgent important
prepare a personal financial plan for the semester,not-urgent important
respond to the urgent feedback received during the meeting,urgent important
browse study technique,not-urgent not-important
schedule the vehicle inspection for road safety compliance,urgent important
study the syllabus for the lecture and exam,urgent important
take inventory of cleaning supply,urgent not-important
chat with classmate,not-urgent not-important
catch up on industry news,not-urgent important
remind team to set out-of-office,urgent not-important
submit class survey,urgent not-important
review last class note,not-urgent important
research academic publication related to your interest,not-urgent important
write faq content for the new product line,not-urgent important
sort through old email,not-urgent not-important
respond to the doctor’s email regarding test result,urgent important
schedule dentist appointment,not-urgent important
organize practice test,not-urgent not-important
submit class project,urgent important
check social medium for update,not-urgent not-important
design new icon,not-urgent not-important
prepare the poster presentation for the academic conference,urgent important
finalize the research experiment setup before tomorrow,urgent important
check meeting room availability,urgent not-important
submit the final essay before midnight,urgent not-important
prepare next month's client billing,urgent important
check university’s career center for internship opportunity,not-urgent not-important
check class material for next lecture,urgent not-important
prepare lab report for tomorrow’s class,urgent not-important
add a holiday reminder,
check textbook for next semester,urgent not-important
organize your digital note by subject,not-urgent important
ask ta for help,urgent not-important
remind group about project meeting,urgent not-important
review long-term goal,not-urgent important
pick up the prescription from the pharmacy,urgent important
check for deadline on student council election,urgent not-important
spend time browsing fashion trend,not-urgent not-important
complete merger documentation,urgent important
finalize the task allocation for tomorrow’s workshop,urgent important
check out online tool for writing and editing paper,not-urgent not-important
check library book due date,urgent important
update employee badge,urgent not-important
organize mobile bookmark,not-urgent not-important
design study tracker,not-urgent not-important
approve the marketing plan for next week's launch,urgent important
"wiping surface (tables, counters)",not-urgent important
resolve the operational glitch flagged a urgent by the team,urgent important
create assignment timeline,not-urgent important
explore various student accommodation option on campus,not-urgent not-important
study for tomorrow's quiz,urgent important
check projector screen for presentation,urgent not-important
confirm meeting time with client,urgent not-important
check office temperature before meeting,urgent not-important
order printer cartridge,urgent not-important
update class schedule,urgent not-important
cook dinner,not-urgent not-important
look for academic advising slot,urgent not-important
design study space,not-urgent not-important
write personal development goal,not-urgent important
listen to a new album,not-urgent not-important
resolve conflict and issue within the team,urgent important
make the update to the software before the release date,urgent important
review and approve project deliverable,urgent important
create a presentation or poster for an academic event,not-urgent important
organize your room for better productivity,not-urgent important
check student forum for advice on professor,not-urgent not-important
confirm exam location,urgent not-important
ensure all document are archived a per compliance standard,urgent important
organize your digital file,not-urgent not-important
check office equipment,urgent not-important
finalize the slide for the group project presentation,urgent important
organize a meeting to resolve the conflict in the team,urgent important
update study desk layout,not-urgent not-important
update lobby slideshow,not-urgent not-important
analyze sale data,not-urgent important
check exam schedule for upcoming final,urgent not-important
design company culture poster,not-urgent not-important
practice coding exercise,not-urgent important
print meeting note,
plan itinerary for next month's business trip,not-urgent important
listen to lecture podcast,not-urgent important
read through online student forum for discussion,not-urgent not-important
set personal goal for the next month,not-urgent important
write a letter to a friend,not-urgent important
explore new learning apps or platform,not-urgent important
explore a new social medium platform,not-urgent not-important
check if exam is rescheduled,urgent not-important
plan for next week's assignment,not-urgent important
play a casual mobile game,not-urgent not-important
analyze competitor activity,not-urgent important
explore research opportunity,not-urgent important
look for networking opportunity on campus,urgent not-important
confirm travel arrangement,urgent important
back up computer file,not-urgent important
look for old sticky note,
attend university’s open house for prospective student,not-urgent not-important
practice statistical analysis,not-urgent important
plan a study session at a local caf�,not-urgent important
conduct competitor swot analysis,not-urgent important
prepare for board presentation,urgent important
submit the paperwork for the apartment lease renewal,urgent important
play board game,not-urgent not-important
buy textbook for the upcoming semester,urgent not-important
attend club meeting,urgent not-important
submit discussion post deadline,urgent important
listen to a podcast episode,not-urgent not-important
look up the university’s academic calendar for important date,urgent not-important
book study room,urgent not-important
check course announcement,urgent not-important
update team performance metric,not-urgent important
check due date for assignment,urgent important
look for academic conference,urgent not-important
attend a movie screening,not-urgent not-important
pick up the dry cleaning before closing time,urgent important
update study goal visuals,not-urgent not-important
reconnect with an old friend,not-urgent important
attend a seminar on professional development or networking,not-urgent important
buy souvenir,not-urgent not-important
schedule the emergency meeting for tonight,urgent important
remind professor about missed class,urgent not-important
update process documentation,not-urgent important
limit screen time,not-urgent important
check student club event for next week,urgent not-important
schedule time for exercise,not-urgent important
return library book,urgent not-important
organize study material and plan study schedule,not-urgent important
prepare a competitive analysis,not-urgent important
create a study calendar for final,not-urgent important
create presentation for meeting,urgent important
create virtual office tour,not-urgent not-important
attend team meeting,urgent not-important
organize the presentation slide for the project,urgent important
confirm study session time,urgent not-important
learn citation style,not-urgent important
check voicemail message,urgent not-important
share event photo,
analyze previous marketing campaign,not-urgent important
optimize website for seo,not-urgent important
develop targeted marketing campaign,urgent important
ask advisor about study abroad detail,urgent not-important
research graduate school,not-urgent important
prepare the feedback report due next day,urgent important
visit a new caf� or restaurant with friend,not-urgent important
update personal portfolio with latest project,not-urgent not-important
order office supply,
follow academic blog or podcasts to stay updated,not-urgent important
complete homework for subject 1,urgent important
update study routine,not-urgent not-important
sort through voice memo,not-urgent not-important
visit the library to borrow new book,not-urgent important
update study break game,not-urgent not-important
arrange business travel,urgent not-important
design new study avatar,not-urgent not-important
sort downloaded pdfs,not-urgent not-important
update app theme,not-urgent not-important
update office furniture layout,not-urgent not-important
prepare the report for the finance meeting,urgent important
read a research paper or journal in your field of study,not-urgent important
review student health service available on campus,not-urgent not-important
join a university club related to your field of study,not-urgent important
verify job application submission,urgent not-important
design assignment calendar,not-urgent not-important
coordinate the resource for the software upgrade,urgent important
review practice question,not-urgent important
organize your student project by deadline,not-urgent not-important
conduct a preliminary analysis for the merger proposal,urgent important
study experimental design,not-urgent important
review company guideline,not-urgent not-important
create a study group for upcoming exam,not-urgent important
prepare for mock interview,not-urgent important
ask professor for feedback,not-urgent important
wake up in the morning,urgent important
find a tutor for difficult subject,urgent not-important
double-check that all assignment are uploaded on the portal,urgent not-important
family time,not-urgent important
register for campus event,urgent not-important
schedule routine maintenance,urgent not-important
design study schedule,not-urgent not-important
process purchase order,urgent not-important
organize digital asset library,not-urgent not-important
schedule content for social medium,not-urgent important
buy grocery for the week,not-urgent important
research new hobby or activity to try,not-urgent important
submit club membership form,urgent not-important
reserve meeting room for session,urgent not-important
learn academic publishing,not-urgent important
review and approve social medium post,urgent important
plan your semester break and leisure activity,not-urgent not-important
check if the car ha enough gas for the trip,urgent not-important
design study planner,not-urgent not-important
research career option in your field of study,not-urgent important
process routine paperwork,urgent not-important
update app permission,not-urgent not-important
create a playlist for the weekend,not-urgent not-important
fix pantry light,
review and approve the employee request for leave,urgent important
submit the application for the international exchange program,urgent important
learn python programming,not-urgent important
update office ambiance setting,not-urgent not-important
take break during homework,not-urgent important
respond to the email about the scholarship application,urgent important
watch video on team-building activity,not-urgent not-important
prepare the research data for the external collaboration proposal,urgent important
try a new coffee recipe,not-urgent not-important
risk assessment and mitigation planning,not-urgent important
assign task to team member,urgent important
create office playlist,not-urgent not-important
organize study note,not-urgent not-important
prepare quarterly performance review,not-urgent important
check status of customer ticket,urgent important
verify assignment submission deadline with the professor,urgent not-important
verify online class login,urgent not-important
organize note by topic,not-urgent not-important
create team celebration certificate,not-urgent not-important
send reminder for team survey,urgent not-important
research potential advertiser,not-urgent important
review and approve the legal case file for court tomorrow,urgent important
send the rsvp for the family reunion event,urgent important
arrange last-minute repair,urgent not-important
update meeting note for archive,not-urgent important
design study break timer,not-urgent not-important
sort study bookmark,not-urgent not-important
plan next quarter's marketing objective,not-urgent important
print out research paper for class discussion,urgent not-important
confirm travel arrangement for conference,urgent important
pay the school fee for the upcoming semester,urgent important
join the university’s student newsletter mailing list,urgent not-important
review and revise past assignment for improvement,not-urgent important
research industry trend,not-urgent important
send employee birthday message,not-urgent not-important
do a puzzle,not-urgent not-important
clean out old project file,not-urgent not-important
look for free online course,urgent not-important
redecorate a room,not-urgent not-important
organize study music,not-urgent not-important
resolve cash flow crisis,urgent important
write a random blog post,not-urgent not-important
prepare expense receipt,urgent important
create a study group calendar,not-urgent not-important
prepare an update for the client on project progress,urgent important
update device ringtones,not-urgent not-important
watch a random live stream,not-urgent not-important
reschedule casual call,
sort saved link,not-urgent not-important
arrange projector for meeting,urgent not-important
read book on leadership,not-urgent important
prepare group project presentation,urgent important
prepare the house for the upcoming appraisal visit,urgent important
handle the complaint about the service,urgent important
draft a press release,not-urgent important
finalize the project proposal for the client meeting tomorrow,urgent important
attend lab practical session,urgent important
work or study,urgent important
sign up for campus career fair,not-urgent important
send meeting note to the team,urgent not-important
complete the task for the upcoming board meeting,urgent important
schedule a meeting with the new client for contract signing,urgent important
draft response to customer complaint,urgent important
conduct competitor analysis,not-urgent important
attend an online seminar,not-urgent not-important
complete the inventory check before the audit,urgent important
study for math exam,urgent important
plan summer internship application,not-urgent important
change desktop wallpaper,not-urgent not-important
double-check meeting room reservation,urgent not-important
update study motivation board,not-urgent not-important
update note theme,not-urgent not-important
read article on managing university workload effectively,not-urgent not-important
update study timeline,not-urgent not-important
changing bed sheet,not-urgent important
share a fun memo,
submit lab report by end of the day,urgent not-important
meditate,not-urgent important
finish group project deadline,urgent important
prepare the material for next day’s board review session,urgent important
write a poem,not-urgent not-important
send the project proposal to the client before the deadline,urgent important
organize laptop file,not-urgent not-important
check your credit card statement for any discrepancy,urgent not-important
send a reminder to the team about the weekly check-in meeting,urgent not-important
coordinate office relocation,urgent not-important
listen to a podcast,not-urgent not-important
send follow-up email,urgent important
check class syllabus,urgent not-important
find new way to improve your workstation comfort,not-urgent not-important
submit class participation report,urgent important
confirm team’s schedule change,urgent not-important
call for office repair,urgent not-important
confirm travel detail,
coordinate team lunch,urgent not-important
complete course withdrawal form,urgent important
take a study break,not-urgent important
join an online group or forum,not-urgent not-important
conduct exploratory data analysis (eda),not-urgent important
follow a new artist on instagram,not-urgent not-important
develop supply chain resilience plan,not-urgent important
look for way to improve focus while studying,not-urgent not-important
set up a meeting with hr for staff concern,urgent not-important
run data analysis for report,urgent important
organize your email inbox,not-urgent not-important
make a digital scrapbook,not-urgent not-important
call bank for transaction update,urgent not-important
prepare for language exam,urgent important
recheck final project guideline,urgent not-important
create a meme,not-urgent not-important
remind staff to close window,urgent not-important
send the contract for signing to the client,urgent important
organize department lunch,not-urgent not-important
update website content,not-urgent important
read textbook or study resource,not-urgent important
review customer feedback,not-urgent important
organize study break,not-urgent not-important
complete the assignment due by midnight,urgent important
prepare the slide for tonight's emergency team meeting,urgent important
submit the final layout for tomorrow's promotional event,urgent important
try new coffee recipe,not-urgent not-important
schedule academic advising,urgent not-important
reply to non-urgent work-related email,not-urgent not-important
arrange catering for upcoming office seminar,urgent not-important
create study session planner,not-urgent not-important
resolve the network issue in 5 hour urgently,urgent important
confirm dinner plan for tonight,urgent not-important
conduct research on sustainable business practice,not-urgent important
review and apply for scholarship opportunity,not-urgent important
write a goal-setting document for the year,not-urgent important
arrange desktop icon,not-urgent not-important
customize wallpaper,not-urgent not-important
practice data analysis,not-urgent important
schedule routine inspection,
schedule gym session,urgent not-important
plan weekend trip with friend,not-urgent important
try out a new hairstyle,not-urgent not-important
book conference ticket,urgent not-important
schedule time for a weekend relaxation,not-urgent important
provide feedback and mentorship to team member,not-urgent important
learn data visualization,not-urgent important
finalize the outline for the term paper,urgent important
check if lab material are available,urgent not-important
confirm the schedule for next week’s client call,urgent not-important
attend the training session for the new software,urgent important
tidy up office pantry,
search for job,urgent important
submit the research paper to the academic journal,urgent important
schedule vendor meeting,urgent not-important
write project closure report,urgent important
re-watch old tv series episode,not-urgent not-important
review past assignment and mistake,not-urgent important
plan team retreat itinerary,not-urgent important
update office signage font,not-urgent not-important
update student profile,urgent not-important
confirm group project presentation time,urgent not-important
customize laptop setup,not-urgent not-important
send reminder about employee survey,urgent not-important
brainstorm idea for client outreach,not-urgent important
design research log,not-urgent not-important
attend mental health workshop,not-urgent important
ask professor about class cancellation,urgent not-important
sort bookmarked video,not-urgent not-important
look for free or discounted tool for academic research,not-urgent not-important
