Task,Category
Clean Room,not-urgent not-important
Do Laundry,not-urgent not-important
Cook Dinner,not-urgent not-important
Pay for Lunch,urgent not-important
Buy Textbooks,urgent not-important
Attend Club Meeting,urgent not-important
Work on Group Project,urgent important
Prepare Presentation,urgent important
Review Lecture Notes,not-urgent important
Solve Practice Problems,not-urgent important
Watch Educational Videos,not-urgent important
Take Online Course,not-urgent important
Read Academic Papers,not-urgent important
Attend Career Fair,not-urgent important
Network with Professionals,not-urgent important
Practice Interview Skills,not-urgent important
Apply for Internships,urgent important
Search for Jobs,urgent important
Write Cover Letter,urgent important
Prepare Job Interview,urgent important
Negotiate Salary Offer,urgent important
Attend Job Orientation,urgent important
Start New Job,urgent important
Save Money for Future,not-urgent important
Invest in Retirement Account,not-urgent important
Pay Off Student Loans,urgent important
Build Credit Score,not-urgent important
Learn Budgeting Skills,not-urgent important
Cook Healthy Meals,not-urgent important
Limit Screen Time,not-urgent important
Get Enough Sleep,not-urgent important
Manage Stress,not-urgent important
Practice Mindfulness,not-urgent important
Spend Time with Family and Friends,not-urgent important
Travel,not-urgent important
Learn a New Language,not-urgent important
Play a Musical Instrument,not-urgent important
Paint or Draw,not-urgent important
Write Poetry or Short Stories,not-urgent important
Take Dance or Yoga Classes,not-urgent important
Join a Sports Team,not-urgent important
Go Hiking or Camping,not-urgent important
Volunteer at a Local Charity,not-urgent important
Donate Blood,not-urgent important
Mentor a Younger Student,not-urgent important
Participate in Community Service,not-urgent important
Attend Religious Services,not-urgent important
Meditate or Pray,not-urgent important
Practice Gratitude,not-urgent important
Set Personal Goals,not-urgent important
Track Progress Toward Goals,not-urgent important
Reevaluate Goals Regularly,not-urgent important
Seek Feedback from Others,not-urgent important
Be Patient with Yourself,not-urgent important
Celebrate Accomplishments,not-urgent important
Learn from Mistakes,not-urgent important
Stay Positive,not-urgent important
Believe in Yourself,not-urgent important
Finalize Quarterly Report,urgent important
Schedule Team Meeting,urgent important
Respond to Urgent Client Email,urgent not-important
Clean Out Inbox,not-urgent not-important
Learn Python Programming,not-urgent important
Read a Book on Leadership,not-urgent important
Complete Math Homework,urgent important
Write History Essay,urgent important
Study for Chemistry Quiz,urgent important
Read English Literature Book,not-urgent important
Buy Snacks,urgent not-important
Review Class Notes,not-urgent important
Prepare for Job Interview,urgent important
Respond to urgent emails,urgent important
Prepare project report,urgent important
Plan next month's budget,not-urgent important
Learn a new software tool,not-urgent important
Attend team meeting,urgent important
Delegate tasks to team members,urgent not-important
Organize workspace,not-urgent not-important
Review company's social media posts,urgent not-important
Schedule a doctor's appointment,not-urgent important
Browse online shopping,not-urgent not-important
Review last week's sales numbers,not-urgent important
Pay utility bills,urgent important
Order office supplies,urgent important
Write monthly progress report,not-urgent important
Update LinkedIn profile,not-urgent important
Send feedback to client,urgent important
Complete annual review,not-urgent important
Set goals for the next quarter,not-urgent important
Review department objectives,not-urgent important
Review emails from unknown senders,urgent not-important
Draft new marketing plan,not-urgent important
Organize office files,not-urgent not-important
Respond to customer complaints,urgent important
Schedule weekly meeting,not-urgent important
Complete monthly expense report,not-urgent important
Check company announcements,urgent not-important
Participate in industry webinar,not-urgent important
Fill out team survey,urgent not-important
Update CRM with new leads,urgent important
Prepare a presentation,urgent important
Follow up on pending invoices,urgent important
Create a new client proposal,urgent important
Renew software subscriptions,not-urgent important
Catch up on industry news,not-urgent important
Organize team building activity,not-urgent important
Clean email inbox,not-urgent not-important
Test new project management tool,not-urgent important
Write thank-you notes to clients,not-urgent important
Prepare expense receipts,urgent important
Schedule social media posts,urgent not-important
Review job applications,urgent important
Research potential vendors,not-urgent important
Send team reminders,urgent not-important
Revisit old files,not-urgent not-important
Draft response templates,not-urgent important
Organize file folders,not-urgent not-important
Draft a press release,not-urgent important
Update website content,not-urgent important
Contact technical support,urgent not-important
Register for online course,not-urgent important
Review product inventory,urgent important
Brainstorm product ideas,not-urgent important
Check voicemail messages,urgent not-important
Prepare project timeline,not-urgent important
Review customer feedback,not-urgent important
Read pending work messages,urgent not-important
Add contacts to CRM,not-urgent not-important
Fill out personal expense form,not-urgent not-important
Update software to latest version,not-urgent important
Take a break to recharge,not-urgent important
Plan team lunch,not-urgent not-important
Reorder business cards,not-urgent not-important
Respond to client inquiries,urgent important
Write team appreciation message,not-urgent not-important
Review new project proposals,not-urgent important
Finalize event details,urgent important
Follow up on job applications,urgent not-important
Update team calendar,not-urgent important
Confirm travel arrangements,urgent important
Schedule project milestones,not-urgent important
Prepare for upcoming meeting,not-urgent important
Take inventory of office supplies,not-urgent not-important
Write personal goals for the year,not-urgent important
Organize personal digital files,not-urgent not-important
Update personal budget,not-urgent not-important
Check LinkedIn notifications,not-urgent not-important
Brainstorm new blog topics,not-urgent important
Follow up on mentorship requests,not-urgent important
Record meeting notes,urgent not-important
Research professional certification,not-urgent important
Set up meeting with a mentor,not-urgent important
Refine email templates,not-urgent important
Contact payroll department,urgent not-important
Create a vision board,not-urgent not-important
Review training materials,not-urgent important
Brainstorm team retreat ideas,not-urgent important
Plan out the week ahead,not-urgent important
Write down key learning takeaways,not-urgent not-important
Read industry newsletter,not-urgent not-important
Create social media content calendar,not-urgent important
Research client success stories,not-urgent important
Draft email signatures for team,not-urgent not-important
Update employee handbook,not-urgent important
Analyze previous marketing campaigns,not-urgent important
Send reminder for upcoming meeting,urgent not-important
Schedule coffee chat with colleague,not-urgent not-important
Confirm client meeting details,urgent important
Run data analysis for report,urgent important
Update team on project status,urgent not-important
Review notes from last lecture,not-urgent important
Study for upcoming quiz,urgent important
Update semester planner,not-urgent important
Research internship opportunities,not-urgent important
Schedule time with a tutor,urgent important
Organize study notes,not-urgent not-important
Practice sample test questions,not-urgent important
Submit class project,urgent important
Review class syllabus,not-urgent important
Check due dates for assignments,urgent important
Plan for next week's assignments,not-urgent important
Meet with professor during office hours,not-urgent important
Write discussion post for online class,urgent important
Proofread essay before submission,urgent important
Organize study materials by subject,not-urgent not-important
Prepare flashcards for vocabulary,not-urgent important
Complete extra credit assignment,not-urgent not-important
Practice public speaking for class,not-urgent important
Set reminders for exam dates,not-urgent important
Read assigned book chapters,not-urgent important
Review professor's feedback on paper,not-urgent important
Watch supplemental videos for class,not-urgent important
Create a study playlist,not-urgent not-important
Check grades online,urgent important
Catch up on missed readings,not-urgent important
Organize digital study resources,not-urgent not-important
Plan weekend study session,not-urgent important
Attend campus club meeting,not-urgent not-important
Set up a study group with classmates,not-urgent important
Research scholarship options,not-urgent important
Schedule academic advisor meeting,not-urgent important
Attend professor's office hours,not-urgent important
Create a study calendar for finals,not-urgent important
Practice for upcoming oral exam,urgent important
Organize backpack for next day,not-urgent not-important
Complete online discussion post,urgent important
Update resume for job applications,not-urgent important
Look into study abroad programs,not-urgent important
Prepare for group project meeting,urgent important
Brainstorm ideas for research paper,not-urgent important
Practice coding exercises,not-urgent important
Submit weekly reflection journal,urgent important
Research topics for class presentation,not-urgent important
Plan meals for the week,not-urgent not-important
Set a timer for study breaks,not-urgent important
Review lecture recordings,not-urgent important
Apply for on-campus job,not-urgent important
Check in on group project progress,urgent important
Create a list of study topics,not-urgent important
Schedule exam preparation time,not-urgent important
Attend library study session,not-urgent not-important
Review previous exam questions,not-urgent important
Write outline for term paper,not-urgent important
Attend extra lab practice session,urgent important
Write down study goals,not-urgent not-important
Organize notes by topic,not-urgent not-important
Practice language skills with partner,not-urgent important
Create an exam study guide,not-urgent important
Organize dorm room,not-urgent not-important
Set up reminders for homework deadlines,not-urgent important
Ask professor for study tips,not-urgent important
Attend guest lecture on campus,not-urgent not-important
Read a relevant research article,not-urgent important
Prepare for mock interview,not-urgent important
Organize semester study materials,not-urgent not-important
Check library hours,not-urgent not-important
Update list of goals for semester,not-urgent not-important
Attend academic success workshop,not-urgent important
Brainstorm ideas for thesis topic,not-urgent important
Create a spreadsheet for tracking grades,not-urgent not-important
Look up class study resources,not-urgent not-important
Draft lab report,urgent important
Check campus event schedule,not-urgent not-important
Attend mental health workshop,not-urgent important
Research grants and financial aid,not-urgent important
Create a study group calendar,not-urgent not-important
Practice essay writing skills,not-urgent important
Set personal academic goals,not-urgent not-important
Apply for student club membership,not-urgent not-important
Check deadlines for applications,not-urgent important
Review notes with classmate,not-urgent important
Plan schedule for finals week,not-urgent important
Write summary of lecture notes,not-urgent important
Find a quiet study spot on campus,not-urgent not-important
Take a practice quiz,not-urgent important
Prepare questions for class,not-urgent important
Follow up with professor on project feedback,not-urgent important
Review lab safety guidelines,not-urgent important
Attend volunteer information session,not-urgent not-important
Participate in class discussion,urgent important
Practice presentation for class,urgent important
Set reminders for assignment due dates,not-urgent important
Read course-related news article,not-urgent important
Organize study flashcards,not-urgent not-important
Write notes for research paper,not-urgent important
Prepare list of questions for exam review,not-urgent important
Apply for summer internship,not-urgent important
Complete pre-lab questions,urgent important
Sign up for campus career fair,not-urgent important
Review study topics for quiz,not-urgent important
Plan research project timeline,not-urgent important
Check availability of study rooms,not-urgent not-important
Respond to client emails,urgent important
Prepare monthly sales report,urgent important
Review budget proposal,not-urgent important
Attend weekly team meeting,urgent important
Organize department files,not-urgent not-important
Create quarterly project plan,not-urgent important
Follow up on pending payments,urgent important
Schedule performance reviews,not-urgent important
Submit travel reimbursement,urgent important
Review new software tools,not-urgent important
Organize upcoming team event,not-urgent important
Delegate tasks to team,urgent not-important
Conduct market research,not-urgent important
Prepare for client presentation,urgent important
Submit expense report,urgent important
Update project documentation,not-urgent important
Arrange office supplies restock,urgent not-important
Schedule a team-building activity,not-urgent important
Plan next month's newsletter,not-urgent important
Back up important files,not-urgent important
Send meeting notes to the team,urgent not-important
Review quarterly objectives,not-urgent important
Respond to vendor inquiries,urgent important
Prepare annual review documents,not-urgent important
Set up automated reports,not-urgent important
Write thank-you emails to clients,not-urgent important
Create a team onboarding checklist,not-urgent important
Follow up on project deadlines,urgent important
Schedule IT maintenance,not-urgent important
Check software licenses renewal,not-urgent important
Confirm travel arrangements for conference,urgent important
Plan next quarter's budget,not-urgent important
Organize department lunch,not-urgent not-important
Respond to urgent IT tickets,urgent important
Schedule training session,not-urgent important
Submit contract revisions,urgent important
Update marketing campaign metrics,urgent not-important
Send project updates to stakeholders,urgent important
Organize team resources,not-urgent not-important
Prepare quarterly performance review,not-urgent important
Write project closure report,urgent important
Review company guidelines,not-urgent not-important
Set up monthly one-on-one meetings,not-urgent important
Review employee feedback,not-urgent important
Conduct client satisfaction survey,not-urgent important
Prepare for weekly project update,not-urgent important
Send follow-up emails,urgent important
Research industry trends,not-urgent important
Organize team feedback session,not-urgent important
Create budget allocation spreadsheet,not-urgent important
Draft press release,urgent important
Conduct competitor analysis,not-urgent important
Update contact list,not-urgent not-important
Prepare for board presentation,urgent important
Attend professional development workshop,not-urgent important
Confirm conference registration,urgent important
Arrange client appreciation gifts,not-urgent not-important
Draft annual financial summary,not-urgent important
Schedule project demo,urgent important
Organize product samples,not-urgent not-important
Respond to email inquiries,urgent important
Schedule quarterly review meeting,not-urgent important
Develop team training plan,not-urgent important
Check in on pending contracts,urgent not-important
Complete IT security training,not-urgent important
Review current project status,not-urgent important
Prepare team activity report,not-urgent important
Arrange lunch with clients,urgent not-important
Complete HR compliance training,not-urgent important
Attend stakeholder presentation,not-urgent important
Follow up on action items from meeting,urgent important
Organize digital folders,not-urgent not-important
Draft quarterly progress update,not-urgent important
Meet with new team members,not-urgent important
Finalize product release checklist,urgent important
Review payroll reports,urgent important
Update project timeline,not-urgent important
Schedule software training session,not-urgent important
Back up data on cloud storage,not-urgent important
Order new office furniture,not-urgent not-important
Brainstorm ideas for client outreach,not-urgent important
Draft a proposal for new project,urgent important
Monitor social media mentions,urgent not-important
Create templates for recurring reports,not-urgent important
Prepare feedback for supplier review,not-urgent important
Submit project proposal,urgent important
Check competitor pricing,not-urgent important
Organize brainstorming session,not-urgent important
Develop employee onboarding plan,not-urgent important
Research new office software solutions,not-urgent important
Run a quarterly survey,not-urgent important
Respond to job application inquiries,urgent not-important
Update client portfolio,not-urgent not-important
Schedule content for social media,not-urgent important
Prepare holiday schedule,not-urgent important
Complete office maintenance requests,urgent important
Review policy updates,not-urgent important
Clean out old project files,not-urgent not-important
Complete math homework,urgent important
Study for upcoming exam,urgent important
Prepare group project presentation,urgent important
Review last class notes,not-urgent important
Set up a study schedule,not-urgent important
Respond to professor's email,urgent important
Organize study materials,not-urgent important
Plan next semester's courses,not-urgent important
Attend study group session,urgent important
Ask professor for feedback,not-urgent important
Submit final paper,urgent important
Register for upcoming exams,urgent important
Research scholarship opportunities,not-urgent important
Update academic resume,not-urgent important
Prepare for internship interview,urgent important
Schedule a meeting with an academic advisor,not-urgent important
Attend career fair,not-urgent important
Participate in class discussion board,urgent not-important
Practice public speaking,not-urgent important
Review course syllabus,not-urgent important
Watch recorded lectures,not-urgent important
Plan budget for semester,not-urgent important
Submit weekly assignment,urgent important
Meet with project teammates,urgent important
Schedule study sessions,not-urgent important
Complete online course module,urgent important
Check library book due dates,urgent important
Create a study checklist,not-urgent important
Review feedback from last exam,not-urgent important
Plan weekend study retreat,not-urgent not-important
Review past exam papers,not-urgent important
Brainstorm research paper topic,not-urgent important
Organize class notes,not-urgent not-important
Prepare for lab assignment,urgent important
Schedule time for exercise,not-urgent important
Visit professor during office hours,not-urgent important
Start term paper research,not-urgent important
Update academic planner,not-urgent important
Fill out scholarship application,urgent important
Review lecture slides,not-urgent important
Plan summer internship applications,not-urgent important
Check study resources,not-urgent not-important
Prepare for midterms,urgent important
Confirm study group meeting,urgent important
Research graduate school options,not-urgent important
Brainstorm club activity ideas,not-urgent not-important
Take a study break,not-urgent important
Practice coding problems,not-urgent important
Find a quiet study spot,not-urgent not-important
Submit lab report,urgent important
Attend online tutoring session,urgent important
Participate in student club meeting,not-urgent important
Organize digital files,not-urgent not-important
Read course-related articles,not-urgent important
Update class project document,urgent important
Meet with peer mentor,not-urgent important
Create flashcards for studying,not-urgent important
Plan a study schedule for finals,not-urgent important
Review practice questions,not-urgent important
Research student loan information,not-urgent important
Schedule dentist appointment,not-urgent important
Set up reminder for due dates,not-urgent important
Organize exam study resources,not-urgent important
Write summary notes,not-urgent important
Review essay guidelines,not-urgent important
Print out assignment rubric,urgent not-important
Back up computer files,not-urgent important
Brainstorm thesis ideas,not-urgent important
Apply for library study room,urgent important
Follow up on internship applications,not-urgent important
Research essay topic,not-urgent important
Complete assigned reading,urgent important
Attend extracurricular activity,not-urgent not-important
Register for extracurricular workshop,not-urgent important
Organize backpack,not-urgent not-important
Listen to lecture podcast,not-urgent important
Proofread assignment,urgent important
Prepare for language exam,urgent important
Write study goals for the semester,not-urgent important
Plan weekend activities,not-urgent not-important
Meet with study buddy,not-urgent important
Review last semester's grades,not-urgent not-important
Clean dorm room,not-urgent not-important
Practice mental health exercises,not-urgent important
Attend tutoring for difficult subject,urgent important
Research potential career paths,not-urgent important
Review study flashcards,not-urgent important
Take notes on textbook chapters,not-urgent important
Finish lab prep,urgent important
Participate in study forum,urgent not-important
Check internship deadlines,not-urgent important
Research online courses for credits,not-urgent important
Study past quizzes,not-urgent important
Prepare resume for career fair,urgent important
Organize reference materials,not-urgent not-important
Catch up on sleep,not-urgent important
Plan graduation requirements,not-urgent important
Prepare weekly status report,urgent important
Send reminder emails for upcoming deadlines,urgent not-important
Schedule team brainstorming session,not-urgent important
Organize company-wide webinar,not-urgent important
Order coffee and snacks for the office,not-urgent not-important
Update personal portfolio with latest projects,not-urgent not-important
Draft response to customer complaints,urgent important
Send out holiday cards to clients,not-urgent not-important
Analyze sales performance metrics,not-urgent important
Plan content for blog post series,not-urgent important
Reconcile company credit card transactions,urgent important
Create onboarding documents for new hires,not-urgent important
Review recent team performance data,not-urgent important
Attend weekly leadership meeting,urgent important
Clean up shared drive files,not-urgent not-important
Order new business cards,not-urgent not-important
Schedule yearly team review sessions,not-urgent important
Review annual financial statement,not-urgent important
Check printer and copier supplies,urgent not-important
Conduct survey on employee satisfaction,not-urgent important
Develop social media posting calendar,not-urgent important
Organize monthly company lunch,not-urgent not-important
Proofread marketing materials,urgent important
Prepare agenda for next project meeting,urgent important
Send thank-you notes to partners,not-urgent not-important
Renew professional certification,not-urgent important
Schedule daily stand-up meeting,urgent important
Organize client appreciation event,not-urgent important
Review progress on team goals,not-urgent important
Update safety procedures,urgent important
Evaluate proposals from new vendors,not-urgent important
Create FAQs for customer support,not-urgent important
Respond to low-priority email inquiries,urgent not-important
Organize office supply cabinet,not-urgent not-important
Complete cybersecurity training,urgent important
Check office inventory levels,not-urgent not-important
Conduct competitor SWOT analysis,not-urgent important
Prepare workshop materials,urgent important
Send out RSVP reminder for event,urgent not-important
Schedule 1:1s with each team member,not-urgent important
Prepare for client quarterly review,urgent important
Write personal development goals,not-urgent important
Organize files by client or project,not-urgent not-important
Check office maintenance requests,urgent important
Write and publish press release,urgent important
Review next quarter's strategic plan,not-urgent important
Organize old emails,not-urgent not-important
Prepare next month's client billing,urgent important
Set up calendar reminders for deadlines,not-urgent important
Host monthly feedback session,not-urgent important
Archive old project files,not-urgent not-important
Collect feedback on product launch,not-urgent important
Respond to low-priority comments online,not-urgent not-important
Update office emergency contact list,not-urgent important
Draft new customer support guidelines,not-urgent important
Follow up on partnership inquiries,urgent important
Update team on project timeline,urgent not-important
Schedule office maintenance,not-urgent important
Prepare materials for vendor meeting,urgent important
Organize end-of-year review documentation,not-urgent important
Revisit monthly budget forecast,not-urgent important
Order flowers for upcoming event,not-urgent not-important
Write case study for recent project,not-urgent important
Research new trends in the industry,not-urgent important
Create template for internal reports,not-urgent important
Monitor Google Analytics for website,not-urgent important
Sort digital invoices,not-urgent not-important
Review goals from last quarter,not-urgent important
Check updates to HR policies,urgent not-important
Create email templates for client responses,not-urgent important
Update quarterly financial goals,not-urgent important
Draft minutes from last team meeting,urgent not-important
Set up automated workflows,not-urgent important
Review and approve social media posts,urgent important
Research potential advertisers,not-urgent important
Run monthly report on KPIs,not-urgent important
Submit monthly subscription payments,urgent important
Clean up physical workspace,not-urgent not-important
Organize next month's events calendar,not-urgent important
Review project risks and contingencies,not-urgent important
Follow up with unresponsive clients,urgent important
Plan team retreat itinerary,not-urgent important
Assign tasks for project phases,not-urgent important
Write project post-mortem report,not-urgent important
Update process documentation,not-urgent important
Test workflow automations,not-urgent not-important
Send out new hire welcome email,urgent important
Review quarterly expense report,not-urgent important
Send employee birthday messages,not-urgent not-important
Prepare a competitive analysis,not-urgent important
Check status of customer tickets,urgent important
Set reminders for project check-ins,not-urgent important
Order custom promotional materials,not-urgent not-important
Send follow-up thank-you email after meeting,not-urgent important
Confirm attendance at upcoming conference,urgent important
Organize shared workspace for team,not-urgent not-important
Complete quarterly financial report,urgent important
Respond to client emergency,urgent important
Submit tax documents,urgent important
Fix critical system bug,urgent important
Attend emergency team meeting,urgent important
Schedule medical appointment,urgent important
Pay overdue bills,urgent important
Handle customer crisis,urgent important
Submit project proposal deadline,urgent important
Resolve server downtime,urgent important
Prepare for tomorrow's presentation,urgent important
Address security breach,urgent important
Complete employee evaluations,urgent important
Fix broken production line,urgent important
Submit grant application,urgent important
Strategic planning session,not-urgent important
Exercise and fitness,not-urgent important
Professional development course,not-urgent important
Family time,not-urgent important
Preventive maintenance,not-urgent important
Network building,not-urgent important
Research market trends,not-urgent important
Update business plan,not-urgent important
Learn new software skills,not-urgent important
Personal goal setting,not-urgent important
Regular health checkup,not-urgent important
Team building activities,not-urgent important
Improve documentation,not-urgent important
Develop new product ideas,not-urgent important
Mentor junior staff,not-urgent important
Review long-term goals,not-urgent important
Create content calendar,not-urgent important
Update employee handbook,not-urgent important
Plan marketing strategy,not-urgent important
Research competitors,not-urgent important
Check social media mentions,urgent not-important
Reply to routine emails,urgent not-important
Schedule regular meetings,urgent not-important
Fill out paperwork,urgent not-important
Return phone calls,urgent not-important
Order office supplies,urgent not-important
Update contact list,urgent not-important
Format documents,urgent not-important
File expense reports,urgent not-important
Organize digital files,urgent not-important
Update software,urgent not-important
Clean workspace,urgent not-important
Sort through mail,urgent not-important
Back up files,urgent not-important
Process routine invoices,urgent not-important
Schedule appointments,urgent not-important
Update calendar,urgent not-important
Organize email inbox,urgent not-important
Review meeting notes,urgent not-important
Print documents,urgent not-important
Browse social media,not-urgent not-important
Watch YouTube videos,not-urgent not-important
Play mobile games,not-urgent not-important
Read news articles,not-urgent not-important
Online shopping,not-urgent not-important
Organize desk drawers,not-urgent not-important
Rearrange office layout,not-urgent not-important
Chat with coworkers,not-urgent not-important
Check stock prices,not-urgent not-important
Scroll through feeds,not-urgent not-important
Reorganize bookmarks,not-urgent not-important
Color code files,not-urgent not-important
Change desktop wallpaper,not-urgent not-important
Sort business cards,not-urgent not-important
Customize email signature,not-urgent not-important
Download new apps,not-urgent not-important
Update profile picture,not-urgent not-important
Subscribe to newsletters,not-urgent not-important
Create email filters,not-urgent not-important
Test new productivity apps,not-urgent not-important
Review old documents,not-urgent not-important
Organize phone photos,not-urgent not-important
Clean browser history,not-urgent not-important
Update password list,not-urgent not-important
Arrange desktop icons,not-urgent not-important
Sort through old emails,not-urgent not-important
Review app notifications,not-urgent not-important
Organize music playlist,not-urgent not-important
Customize phone settings,not-urgent not-important
Delete unused apps,not-urgent not-important
Review saved articles,not-urgent not-important
Clean download folder,not-urgent not-important
Update browser bookmarks,not-urgent not-important
Sort through screenshots,not-urgent not-important
Review podcast subscriptions,not-urgent not-important
Clean recycle bin,not-urgent not-important
Update app permissions,not-urgent not-important
Review browser extensions,not-urgent not-important
Sort through voice memos,not-urgent not-important
Customize notification settings,not-urgent not-important
Review cloud storage,not-urgent not-important
Update device nicknames,not-urgent not-important
Sort through archived chats,not-urgent not-important
Review app integrations,not-urgent not-important
Organize digital notes,not-urgent not-important
Update contact photos,not-urgent not-important
Review backup settings,not-urgent not-important
Sort through drafts folder,not-urgent not-important
Complete final exam registration,urgent important
Submit thesis draft to advisor,urgent important
Pay tuition fee deadline,urgent important
Complete lab experiment report,urgent important
Submit plagiarism declaration,urgent important
Schedule oral defense meeting,urgent important
Submit course drop request,urgent important
Complete midterm makeup exam,urgent important
Submit grade appeal form,urgent important
Complete dormitory checkout,urgent important
Submit research ethics approval,urgent important
Complete academic integrity quiz,urgent important
Submit visa extension documents,urgent important
Complete prerequisite waiver,urgent important
Submit degree audit request,urgent important
Research thesis topics,not-urgent important
Develop research methodology,not-urgent important
Read academic journals,not-urgent important
Practice statistical analysis,not-urgent important
Build academic references,not-urgent important
Learn citation styles,not-urgent important
Improve academic writing,not-urgent important
Study research methods,not-urgent important
Practice data analysis,not-urgent important
Learn reference management,not-urgent important
Build laboratory skills,not-urgent important
Practice peer review,not-urgent important
Learn academic software,not-urgent important
Study research ethics,not-urgent important
Build academic vocabulary,not-urgent important
Practice research design,not-urgent important
Learn data visualization,not-urgent important
Study experimental design,not-urgent important
Practice academic debate,not-urgent important
Learn academic publishing,not-urgent important
Update class attendance,urgent not-important
Submit club reimbursement,urgent not-important
Book laboratory time,urgent not-important
Schedule peer review,urgent not-important
Submit printer credits,urgent not-important
Reserve presentation room,urgent not-important
Update student portal,urgent not-important
Schedule counseling session,urgent not-important
Submit locker request,urgent not-important
Book equipment rental,urgent not-important
Update meal plan,urgent not-important
Schedule campus tour,urgent not-important
Submit club budget,urgent not-important
Book sports facility,urgent not-important
Update student insurance,urgent not-important
Schedule library workshop,urgent not-important
Submit volunteer hours,urgent not-important
Book career counseling,urgent not-important
Update campus card,urgent not-important
Schedule faculty meeting,urgent not-important
Organize lecture recordings,not-urgent not-important
Create study flashcards,not-urgent not-important
Update assignment tracker,not-urgent not-important
Design revision timetable,not-urgent not-important
Organize digital textbooks,not-urgent not-important
Create subject folders,not-urgent not-important
Design note-taking system,not-urgent not-important
Organize study guides,not-urgent not-important
Create exam schedules,not-urgent not-important
Design assignment calendar,not-urgent not-important
Organize research papers,not-urgent not-important
Create citation library,not-urgent not-important
Design project timeline,not-urgent not-important
Organize course materials,not-urgent not-important
Create reading schedule,not-urgent not-important
Design study roadmap,not-urgent not-important
Organize academic papers,not-urgent not-important
Create revision guides,not-urgent not-important
Design study planner,not-urgent not-important
Organize course notes,not-urgent not-important
Sort lecture slides,not-urgent not-important
Organize practice tests,not-urgent not-important
